null,0,1,label,selection
"CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out.
Question: Does this imply that ""Eljvir Duka comes from Albania."", yes or no?","CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out.
Question: Does this imply that ""Eljvir Duka comes from Albania."", yes or no?</s></s>yes","CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out.
Question: Does this imply that ""Eljvir Duka comes from Albania."", yes or no?</s></s>no",0,"['yes', 'no']"
"In sub-Saharan Africa about one in every 30 people is infected with HIV.
Question: Does this imply that ""30% of the people infected with HIV live in Africa."", yes or no?","In sub-Saharan Africa about one in every 30 people is infected with HIV.
Question: Does this imply that ""30% of the people infected with HIV live in Africa."", yes or no?</s></s>yes","In sub-Saharan Africa about one in every 30 people is infected with HIV.
Question: Does this imply that ""30% of the people infected with HIV live in Africa."", yes or no?</s></s>no",1,"['yes', 'no']"
"Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded.
Question: Does this imply that ""Juan Carlos Lecompte is the founder of the Green Oxygen Party."", yes or no?","Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded.
Question: Does this imply that ""Juan Carlos Lecompte is the founder of the Green Oxygen Party."", yes or no?</s></s>yes","Her husband, political novice Juan Carlos Lecompte, scrambles to preserve Betancourt's dream and sustain the Oxygen Green Party, the political party she founded.
Question: Does this imply that ""Juan Carlos Lecompte is the founder of the Green Oxygen Party."", yes or no?</s></s>no",1,"['yes', 'no']"
"President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota, Monday, pledging to improve the economy and make peace with FARC (Revolutionary Armed Forces of Colombia) rebels. Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20. Police reported deactivating a car bomb outside of the capital on Monday.
Question: Does this imply that ""Alvaro Uribe is the current President of Colombia."", yes or no?","President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota, Monday, pledging to improve the economy and make peace with FARC (Revolutionary Armed Forces of Colombia) rebels. Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20. Police reported deactivating a car bomb outside of the capital on Monday.
Question: Does this imply that ""Alvaro Uribe is the current President of Colombia."", yes or no?</s></s>yes","President Alvaro Uribe was sworn into his second term of office in the Colombian capital of Bogota, Monday, pledging to improve the economy and make peace with FARC (Revolutionary Armed Forces of Colombia) rebels. Security was tight in order to prevent a repetition of the attack on his first inauguration in 2002 when FARC rebels fired mortars at the presidential palace killing 20. Police reported deactivating a car bomb outside of the capital on Monday.
Question: Does this imply that ""Alvaro Uribe is the current President of Colombia."", yes or no?</s></s>no",0,"['yes', 'no']"
"The first person to be stopped at an international airport because of unpaid fines happened yesterday afternoon (NZDT) at the Auckland International Airport, New Zealand. The person, who wasn't named, was stopped because of the new legislation called the 'Collection of Fines at Airports' or more simply: Pay or Stay. He was forced to pay NZ$3,750 in unpaid reparations since 1986. ""The person intercepted owed $3,750 of reparation for an offence in 1986 and had made no payments since late 1987,"" said Rick Barker, minister for the courts in New Zealand.
Question: Does this imply that ""A person was stopped at an airport because of unpaid fines."", yes or no?","The first person to be stopped at an international airport because of unpaid fines happened yesterday afternoon (NZDT) at the Auckland International Airport, New Zealand. The person, who wasn't named, was stopped because of the new legislation called the 'Collection of Fines at Airports' or more simply: Pay or Stay. He was forced to pay NZ$3,750 in unpaid reparations since 1986. ""The person intercepted owed $3,750 of reparation for an offence in 1986 and had made no payments since late 1987,"" said Rick Barker, minister for the courts in New Zealand.
Question: Does this imply that ""A person was stopped at an airport because of unpaid fines."", yes or no?</s></s>yes","The first person to be stopped at an international airport because of unpaid fines happened yesterday afternoon (NZDT) at the Auckland International Airport, New Zealand. The person, who wasn't named, was stopped because of the new legislation called the 'Collection of Fines at Airports' or more simply: Pay or Stay. He was forced to pay NZ$3,750 in unpaid reparations since 1986. ""The person intercepted owed $3,750 of reparation for an offence in 1986 and had made no payments since late 1987,"" said Rick Barker, minister for the courts in New Zealand.
Question: Does this imply that ""A person was stopped at an airport because of unpaid fines."", yes or no?</s></s>no",0,"['yes', 'no']"
"The compilers of the OED point out that they merely record the description of how the word is used, rather than prescribe how it should be used. The term, McJob, has been in usage at least 20 years, they say. It was popularised in 1991 in Douglas Coupland's novel Generation X: Tales for an Accelerated Culture as one of the margin definitions. Here it was described as ""a low-pay, low-prestige, low-dignity, low benefit, no-future job in the service sector. Frequently considered a satisfying career choice by people who have never held one.""
Question: Does this imply that ""A ""McJob"" is a low-paid job."", yes or no?","The compilers of the OED point out that they merely record the description of how the word is used, rather than prescribe how it should be used. The term, McJob, has been in usage at least 20 years, they say. It was popularised in 1991 in Douglas Coupland's novel Generation X: Tales for an Accelerated Culture as one of the margin definitions. Here it was described as ""a low-pay, low-prestige, low-dignity, low benefit, no-future job in the service sector. Frequently considered a satisfying career choice by people who have never held one.""
Question: Does this imply that ""A ""McJob"" is a low-paid job."", yes or no?</s></s>yes","The compilers of the OED point out that they merely record the description of how the word is used, rather than prescribe how it should be used. The term, McJob, has been in usage at least 20 years, they say. It was popularised in 1991 in Douglas Coupland's novel Generation X: Tales for an Accelerated Culture as one of the margin definitions. Here it was described as ""a low-pay, low-prestige, low-dignity, low benefit, no-future job in the service sector. Frequently considered a satisfying career choice by people who have never held one.""
Question: Does this imply that ""A ""McJob"" is a low-paid job."", yes or no?</s></s>no",0,"['yes', 'no']"
"The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries.
Question: Does this imply that ""The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries."", yes or no?","The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries.
Question: Does this imply that ""The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries."", yes or no?</s></s>yes","The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries.
Question: Does this imply that ""The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries."", yes or no?</s></s>no",0,"['yes', 'no']"
"On Friday evening, a car bomb exploded outside a Shiite mosque in Iskandariyah, 30 miles south of the capital, killing seven people and wounding 10, doctors said on condition of anonymity.
Question: Does this imply that ""The car bomb at the mosque in Iskandariyah exploded."", yes or no?","On Friday evening, a car bomb exploded outside a Shiite mosque in Iskandariyah, 30 miles south of the capital, killing seven people and wounding 10, doctors said on condition of anonymity.
Question: Does this imply that ""The car bomb at the mosque in Iskandariyah exploded."", yes or no?</s></s>yes","On Friday evening, a car bomb exploded outside a Shiite mosque in Iskandariyah, 30 miles south of the capital, killing seven people and wounding 10, doctors said on condition of anonymity.
Question: Does this imply that ""The car bomb at the mosque in Iskandariyah exploded."", yes or no?</s></s>no",0,"['yes', 'no']"
"Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government.""
Question: Does this imply that ""Hossam Zaki is the new Foreign Minister of Israel."", yes or no?","Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government.""
Question: Does this imply that ""Hossam Zaki is the new Foreign Minister of Israel."", yes or no?</s></s>yes","Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government.""
Question: Does this imply that ""Hossam Zaki is the new Foreign Minister of Israel."", yes or no?</s></s>no",1,"['yes', 'no']"
"Claes denied categorically that they had ever known of the existence of an Agusta proposal, and told the NATO ambassadors that he did not know anything about an Agusta payment to the Socialist Party.
Question: Does this imply that ""NATO Secretary General Willy Claes resigned."", yes or no?","Claes denied categorically that they had ever known of the existence of an Agusta proposal, and told the NATO ambassadors that he did not know anything about an Agusta payment to the Socialist Party.
Question: Does this imply that ""NATO Secretary General Willy Claes resigned."", yes or no?</s></s>yes","Claes denied categorically that they had ever known of the existence of an Agusta proposal, and told the NATO ambassadors that he did not know anything about an Agusta payment to the Socialist Party.
Question: Does this imply that ""NATO Secretary General Willy Claes resigned."", yes or no?</s></s>no",1,"['yes', 'no']"
"In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon.
Question: Does this imply that ""The Apollo astronauts waved the American flag on the moon in 1969."", yes or no?","In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon.
Question: Does this imply that ""The Apollo astronauts waved the American flag on the moon in 1969."", yes or no?</s></s>yes","In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon.
Question: Does this imply that ""The Apollo astronauts waved the American flag on the moon in 1969."", yes or no?</s></s>no",0,"['yes', 'no']"
"Gen. Maza Marquez said that the fact that a payment is being offered for the capture of Pablo Escobar does not mean that other persons accused of being capos of the mafia are not being sought, and that if anyone being held in connection with the investigation of the killing of Luis Carlos Galan is released, that does not mean that the investigations are not proceeding well.
Question: Does this imply that ""Luis was killed by the capos of the mafia."", yes or no?","Gen. Maza Marquez said that the fact that a payment is being offered for the capture of Pablo Escobar does not mean that other persons accused of being capos of the mafia are not being sought, and that if anyone being held in connection with the investigation of the killing of Luis Carlos Galan is released, that does not mean that the investigations are not proceeding well.
Question: Does this imply that ""Luis was killed by the capos of the mafia."", yes or no?</s></s>yes","Gen. Maza Marquez said that the fact that a payment is being offered for the capture of Pablo Escobar does not mean that other persons accused of being capos of the mafia are not being sought, and that if anyone being held in connection with the investigation of the killing of Luis Carlos Galan is released, that does not mean that the investigations are not proceeding well.
Question: Does this imply that ""Luis was killed by the capos of the mafia."", yes or no?</s></s>no",1,"['yes', 'no']"
