null,0,1,label,selection
"The photo albums collected dust in the attic. 

What's the best option?
- They remained untouched for years.
- The family reminisced over the photos.

We are looking for  a cause","The photo albums collected dust in the attic. 

What's the best option?
- They remained untouched for years.
- The family reminisced over the photos.

We are looking for  a cause</s></s>They remained untouched for years.","The photo albums collected dust in the attic. 

What's the best option?
- They remained untouched for years.
- The family reminisced over the photos.

We are looking for  a cause</s></s>The family reminisced over the photos.",0,"['They remained untouched for years.', 'The family reminisced over the photos.']"
"The man gained weight. 

What's the best option?
- He got his suit altered.
- He got his shoes shined.

We are looking for  an effect","The man gained weight. 

What's the best option?
- He got his suit altered.
- He got his shoes shined.

We are looking for  an effect</s></s>He got his suit altered.","The man gained weight. 

What's the best option?
- He got his suit altered.
- He got his shoes shined.

We are looking for  an effect</s></s>He got his shoes shined.",0,"['He got his suit altered.', 'He got his shoes shined.']"
"The woman deleted the email. 

What's the best option?
- The sender tried to solicit money from her.
- The sender requested a response from her.

We are looking for  a cause","The woman deleted the email. 

What's the best option?
- The sender tried to solicit money from her.
- The sender requested a response from her.

We are looking for  a cause</s></s>The sender tried to solicit money from her.","The woman deleted the email. 

What's the best option?
- The sender tried to solicit money from her.
- The sender requested a response from her.

We are looking for  a cause</s></s>The sender requested a response from her.",0,"['The sender tried to solicit money from her.', 'The sender requested a response from her.']"
"The mother needed help looking after her children. 

What's the best option?
- She sent the children to daycare.
- She gave up custody of the children.

We are looking for  an effect","The mother needed help looking after her children. 

What's the best option?
- She sent the children to daycare.
- She gave up custody of the children.

We are looking for  an effect</s></s>She sent the children to daycare.","The mother needed help looking after her children. 

What's the best option?
- She sent the children to daycare.
- She gave up custody of the children.

We are looking for  an effect</s></s>She gave up custody of the children.",0,"['She sent the children to daycare.', 'She gave up custody of the children.']"
"The woman spotted her friend from across the room. 

What's the best option?
- The woman waved.
- The woman escaped.

We are looking for  a cause","The woman spotted her friend from across the room. 

What's the best option?
- The woman waved.
- The woman escaped.

We are looking for  a cause</s></s>The woman waved.","The woman spotted her friend from across the room. 

What's the best option?
- The woman waved.
- The woman escaped.

We are looking for  a cause</s></s>The woman escaped.",0,"['The woman waved.', 'The woman escaped.']"
"The woman became famous. 

What's the best option?
- Photographers followed her.
- Her family avoided her.

We are looking for  an effect","The woman became famous. 

What's the best option?
- Photographers followed her.
- Her family avoided her.

We are looking for  an effect</s></s>Photographers followed her.","The woman became famous. 

What's the best option?
- Photographers followed her.
- Her family avoided her.

We are looking for  an effect</s></s>Her family avoided her.",0,"['Photographers followed her.', 'Her family avoided her.']"
"The secretary put the caller on hold. 

What's the best option?
- The caller's phone lost reception.
- The caller waited on the line.

We are looking for  an effect","The secretary put the caller on hold. 

What's the best option?
- The caller's phone lost reception.
- The caller waited on the line.

We are looking for  an effect</s></s>The caller's phone lost reception.","The secretary put the caller on hold. 

What's the best option?
- The caller's phone lost reception.
- The caller waited on the line.

We are looking for  an effect</s></s>The caller waited on the line.",1,"[""The caller's phone lost reception."", 'The caller waited on the line.']"
"The tenants were evicted from the apartment. 

What's the best option?
- They neglected to pay their rent.
- They got along with their landlord.

We are looking for  a cause","The tenants were evicted from the apartment. 

What's the best option?
- They neglected to pay their rent.
- They got along with their landlord.

We are looking for  a cause</s></s>They neglected to pay their rent.","The tenants were evicted from the apartment. 

What's the best option?
- They neglected to pay their rent.
- They got along with their landlord.

We are looking for  a cause</s></s>They got along with their landlord.",0,"['They neglected to pay their rent.', 'They got along with their landlord.']"
"The woman lavished her friend with flattery. 

What's the best option?
- She wanted to ask her friend for a favor.
- She was irritated with her friend's whining.

We are looking for  a cause","The woman lavished her friend with flattery. 

What's the best option?
- She wanted to ask her friend for a favor.
- She was irritated with her friend's whining.

We are looking for  a cause</s></s>She wanted to ask her friend for a favor.","The woman lavished her friend with flattery. 

What's the best option?
- She wanted to ask her friend for a favor.
- She was irritated with her friend's whining.

We are looking for  a cause</s></s>She was irritated with her friend's whining.",0,"['She wanted to ask her friend for a favor.', ""She was irritated with her friend's whining.""]"
"The girl desired her parent's approval. 

What's the best option?
- She ran away from home.
- She obeyed her parent's rules.

We are looking for  an effect","The girl desired her parent's approval. 

What's the best option?
- She ran away from home.
- She obeyed her parent's rules.

We are looking for  an effect</s></s>She ran away from home.","The girl desired her parent's approval. 

What's the best option?
- She ran away from home.
- She obeyed her parent's rules.

We are looking for  an effect</s></s>She obeyed her parent's rules.",1,"['She ran away from home.', ""She obeyed her parent's rules.""]"
